Hippoglossus stenolepis,3.24,-2.5031
Hippoglossus stenolepis,3.093,-2.1274
Hippoglossus stenolepis,3.2574,-2.4318
Hippoglossus stenolepis,3.08,-2.0721
Hippoglossus stenolepis,3.05,-2.109
Reinhardtius hippoglossoides,3.328,-2.6073
Reinhardtius hippoglossoides,3.206,-2.4123
Reinhardtius hippoglossoides,3.3673,-2.714
Reinhardtius hippoglossoides,3.2578,-2.5188
Reinhardtius hippoglossoides,3.45,-2.8097
Reinhardtius hippoglossoides,3.28,-2.5406
Atheresthes stomias,3.238,-2.451
Atheresthes stomias,3.0342,-2.07
Atheresthes stomias,2.7913,-1.7031
Atheresthes stomias,2.5688,-1.2617
Atheresthes stomias,3.32,-2.567
Atheresthes evermanni,3.396,-2.6253
Atheresthes evermanni,3.2532,-2.4293
Atheresthes evermanni,2.9782,-1.7595
Atheresthes evermanni,3.29,-2.4647
Atheresthes evermanni,2.88,-1.7905
Hippoglossoides elassodon,3.0076,-1.9924
Hippoglossoides elassodon,3.33,-2.5003
Hippoglossoides elassodon,3.13,-2.1952
Limanda aspera,2.7367,-1.4949
Limanda aspera,3.2658,-2.3416
Limanda aspera,2.9969,-1.926
Limanda aspera,3.0104,-1.9135
Limanda aspera,3.9576,-1.8268
Limanda aspera,3.1531,-2.1192
Pseudopleuronectes americanus,3,-1.6716
Limanda limanda,3.113,-2.1308
Limanda limanda,3.221,-2.262
Limanda limanda,3.091,-2.0685
Limanda limanda,3.14,-2.3054
Limanda limanda,3.109,-2.2472
Limanda limanda,3.217,-2.2343
Limanda limanda,3.195,-2.2636
Platichthys flesus,3.098,-2.0605
Platichthys flesus,3.066,-2.0315
Platichthys flesus,2.963,-1.9355
Platichthys flesus,3.1,-2.1993
Platichthys flesus,2.968,-1.9034
Platichthys flesus,3.11,-2.1549
Platichthys flesus,3.093,-2.1549
Platichthys flesus,2.778,-1.6968
Platichthys flesus,2.956,-1.8011
Platichthys flesus,2.83,-1.658
Hippoglossus hippoglossus,2.953,-1.5591
Hippoglossus hippoglossus,3.249,-1.8861
Hippoglossus hippoglossus,3,-1.71
Microstomus kitt,3,-1.7979
Microstomus kitt,3,-1.9193
Microstomus kitt,3,-1.9053
Microstomus kitt,3.142,-2.1215
Eopsetta jordani,3.352,-2.767
Eopsetta jordani,3.135,-2.3788
Eopsetta jordani,3.3062,-2.3706
Eopsetta jordani,3.2175,-2.2175
Glyptocephalus zachirus,3.6075,-3.0458
Glyptocephalus zachirus,3.531,-2.5467
Glyptocephalus zachirus,3.387,-2.7447
Glyptocephalus zachirus,3.37,-2.719
Hippoglossoides platessoides,3.204,-2.3565
Hippoglossoides platessoides,3.345,-2.9547
Hippoglossoides robustus,3.25,-2.3107
Hippoglossoides robustus,3.1302,-2.2027
Liopsetta glacialis,2.9606,-1.8182
Liopsetta glacialis,2.9198,-2.8539
Microstomus pacificus,2.9387,-1.9129
Parophrys vetulus,3.127,-2.4168
Parophrys vetulus,2.9036,-1.845
Platichthys stellatus,3,-1.9031
Platichthys stellatus,3.3433,-2.4449
Platichthys stellatus,2.9993,-1.815
Pleuronectes quadrituberculatus,3.0362,-1.9439
Pleuronectes quadrituberculatus,2.9964,-1.8811
Pleuronectes quadrituberculatus,3.22,-2.2299
Pleuronectes quadrituberculatus,2.99,-1.8928
Pseudopleuronectes yokohamae,3.03,-1.7423
Pseudopleuronectes yokohamae,3.43,-2.7696
Pleuronichthys cornutus,2.97,-1.4935
Pleuronichthys cornutus,2.81,-1.1979
Pseudopleuronectes herzensteini,3.37,-2.7447
Pseudopleuronectes herzensteini,2.9195,-1.7645
Kareius bicoloratus,3.18,-2.2147
Kareius bicoloratus,3.05,-1.8416
Kareius bicoloratus,3,-1.6271
Kareius bicoloratus,3,-1.6478
Kareius bicoloratus,3.0471,-2
Tanakius kitaharae,3.66,-2.7959
Tanakius kitaharae,3.04,-2.0655
Microstomus achne,2.93,-1.5436
Microstomus achne,2.78,-1.2007
Cleisthenes herzensteini,2.82,-1.426
Cleisthenes herzensteini,3.01,-1.9208
Cleisthenes herzensteini,2.7004,-1.5784
Cleisthenes herzensteini,3.1664,-2.2694
Acanthopsetta nadeshnyi,3.147,-2.2612
Clidoderma asperrimum,3.153,-2.9772
Eopsetta grigorjewi,3.11,-2.2076
Glyptocephalus stelleri,2.9536,-1.9948
Hippoglossoides dubius,2.9967,-2.0357
Limanda punctatissima,2.804,-1.6505
Rhombosolea tapirina,2.7,-1.4437
Rhombosolea tapirina,2.64,-1.4089
Rhombosolea leporina,2.512,-1.1433
Rhombosolea leporina,3.327,-2.451
Rhombosolea plebeia,2.658,-1.4145
Oncopterus darwinii,3.09,-2.0725
Lepidopsetta bilineata,2.8578,-1.6857
Pseudopleuronectes obscurus,3.1959,-2.1132
Limanda sakhalinensis,2.8066,-1.7645
